winner,loser,probability
Cleveland Cavaliers,Boston Celtics,0.5657197005486182
Golden State Warriors,Houston Rockets,0.573063235083499
Boston Celtics,Milwaukee Bucks,0.5765177512150701
Dallas Mavericks,Atlanta Hawks,0.5123111053103436
Charlotte Hornets,Detroit Pistons,0.5446348262048211
Indiana Pacers,Brooklyn Nets,0.5012606029212361
Memphis Grizzlies,New Orleans Pelicans,0.5081409479252794
Orlando Magic,Miami Heat,0.5042016545309018
Phoenix Suns,Portland Trail Blazers,0.5808971294573968
Sacramento Kings,Houston Rockets,0.5837347462744052
San Antonio Spurs,Minnesota Timberwolves,0.5617842542873059
Utah Jazz,Denver Nuggets,0.5439275348145818
Philadelphia 76ers,Washington Wizards,0.5052860804515724
Los Angeles Lakers,Los Angeles Clippers,0.5752617737834105
Oklahoma City Thunder,New York Knicks,0.5182966094818933
Toronto Raptors,Chicago Bulls,0.5361436160313503
Orlando Magic,Brooklyn Nets,0.5438691829220015
Atlanta Hawks,Charlotte Hornets,0.5235479995508576
Dallas Mavericks,Sacramento Kings,0.5455969579951722
Indiana Pacers,Portland Trail Blazers,0.5315935788605625
Milwaukee Bucks,Cleveland Cavaliers,0.5732960116768366
Minnesota Timberwolves,Utah Jazz,0.5575807751007655
New Orleans Pelicans,Golden State Warriors,0.5319305527674992
Philadelphia 76ers,Boston Celtics,0.5631299751530986
Phoenix Suns,Los Angeles Lakers,0.560443334835946
Detroit Pistons,Washington Wizards,0.5572778171777688
Chicago Bulls,San Antonio Spurs,0.5241934365825354
Orlando Magic,Cleveland Cavaliers,0.5198977741835853
Denver Nuggets,Sacramento Kings,0.5448449072699165
Houston Rockets,Dallas Mavericks,0.5526206269856783
Los Angeles Clippers,Phoenix Suns,0.5681106403147291
Memphis Grizzlies,Golden State Warriors,0.6060188876807445
Miami Heat,Indiana Pacers,0.5396165075826063
Milwaukee Bucks,Portland Trail Blazers,0.519074385201083
Detroit Pistons,New York Knicks,0.5245491191905303
Toronto Raptors,Philadelphia 76ers,0.5576937765004545
Utah Jazz,Oklahoma City Thunder,0.5552238876543003
Atlanta Hawks,Brooklyn Nets,0.5160442275862713
Los Angeles Lakers,New Orleans Pelicans,0.5007249265225785
Oklahoma City Thunder,Minnesota Timberwolves,0.5692192513587735
Dallas Mavericks,Golden State Warriors,0.5849735454325967
Denver Nuggets,Washington Wizards,0.5574595783798381
Philadelphia 76ers,Detroit Pistons,0.5166256699201783
Houston Rockets,Memphis Grizzlies,0.5518518216436687
Miami Heat,Atlanta Hawks,0.5020826445144194
Charlotte Hornets,Milwaukee Bucks,0.5036174097083892
Phoenix Suns,Sacramento Kings,0.5963746932395307
San Antonio Spurs,Toronto Raptors,0.591278446982279
Boston Celtics,New York Knicks,0.5358525589386578
Cleveland Cavaliers,Chicago Bulls,0.5091283312297349
Los Angeles Clippers,Utah Jazz,0.5831028395579227
Minnesota Timberwolves,Indiana Pacers,0.5518081796456941
Brooklyn Nets,Orlando Magic,0.5251977538268155
Portland Trail Blazers,New Orleans Pelicans,0.5136237539336564
Brooklyn Nets,Cleveland Cavaliers,0.5558891772468406
Charlotte Hornets,Denver Nuggets,0.5135836938359172
Dallas Mavericks,Memphis Grizzlies,0.5424963234480922
Detroit Pistons,Minnesota Timberwolves,0.511671061734041
Golden State Warriors,Toronto Raptors,0.6091492154803912
Los Angeles Lakers,Washington Wizards,0.5723897672395075
Miami Heat,San Antonio Spurs,0.5421618404196122
Oklahoma City Thunder,Indiana Pacers,0.5558938841725121
Philadelphia 76ers,Houston Rockets,0.5492530476075868
Phoenix Suns,Utah Jazz,0.6060119527455462
Atlanta Hawks,Chicago Bulls,0.5159617726913366
Memphis Grizzlies,Dallas Mavericks,0.5648549053960275
Milwaukee Bucks,Boston Celtics,0.5594498073284826
Portland Trail Blazers,Los Angeles Clippers,0.5878200783743064
Sacramento Kings,New Orleans Pelicans,0.5144865658228223
Atlanta Hawks,Denver Nuggets,0.5054582284935656
Charlotte Hornets,Houston Rockets,0.5204456541474731
Golden State Warriors,Washington Wizards,0.5751530039733339
Los Angeles Lakers,Toronto Raptors,0.6064557970937153
Minnesota Timberwolves,Oklahoma City Thunder,0.5626088776180459
Brooklyn Nets,New York Knicks,0.508120239728539
Orlando Magic,San Antonio Spurs,0.5278774274879081
Chicago Bulls,Oklahoma City Thunder,0.5325481992793308
Dallas Mavericks,Philadelphia 76ers,0.53510595505744
Los Angeles Clippers,Detroit Pistons,0.5110257045627895
Memphis Grizzlies,Houston Rockets,0.5775510378636803
Miami Heat,Boston Celtics,0.5598718988867024
New Orleans Pelicans,Cleveland Cavaliers,0.5306166607691405
Portland Trail Blazers,Phoenix Suns,0.567348539191737
Utah Jazz,Los Angeles Lakers,0.5034437881273282
Atlanta Hawks,Milwaukee Bucks,0.5093077154141751
Brooklyn Nets,Denver Nuggets,0.5210902111220543
Orlando Magic,Charlotte Hornets,0.5513166392274177
Cleveland Cavaliers,New York Knicks,0.5078169898099039
Golden State Warriors,Detroit Pistons,0.5001736815159108
Indiana Pacers,San Antonio Spurs,0.5541726143225019
Sacramento Kings,Washington Wizards,0.5858100338188078
Boston Celtics,San Antonio Spurs,0.5757135574547452
Houston Rockets,Philadelphia 76ers,0.5444856842367841
Los Angeles Clippers,Golden State Warriors,0.6119830135177636
Memphis Grizzlies,Charlotte Hornets,0.5288555092409414
Miami Heat,Minnesota Timberwolves,0.5530375805759119
Orlando Magic,New Orleans Pelicans,0.5690077304491564
New York Knicks,Denver Nuggets,0.5418791119416418
Portland Trail Blazers,Toronto Raptors,0.6187031172399402
Utah Jazz,Dallas Mavericks,0.5378786867267504
Brooklyn Nets,Phoenix Suns,0.5120632511802469
Indiana Pacers,Sacramento Kings,0.5474735136215436
Detroit Pistons,Los Angeles Lakers,0.502651029504172
Milwaukee Bucks,Oklahoma City Thunder,0.5500478009995167
Boston Celtics,Sacramento Kings,0.569086449424084
Charlotte Hornets,Milwaukee Bucks,0.5174303167036672
Cleveland Cavaliers,Indiana Pacers,0.5455149677060039
Denver Nuggets,Toronto Raptors,0.5918669347062122
Los Angeles Clippers,Dallas Mavericks,0.5710010536224885
Memphis Grizzlies,Orlando Magic,0.5062266912844691
Miami Heat,Chicago Bulls,0.5031877104709501
New Orleans Pelicans,Minnesota Timberwolves,0.5096355800978929
New York Knicks,Houston Rockets,0.5486926697067064
Philadelphia 76ers,Atlanta Hawks,0.5053905867402951
Utah Jazz,Portland Trail Blazers,0.5242986315770495
Phoenix Suns,Washington Wizards,0.5000211666573735
Portland Trail Blazers,Los Angeles Lakers,0.5361371229754986
San Antonio Spurs,Golden State Warriors,0.5836452527289034
Atlanta Hawks,Houston Rockets,0.512325971614777
New Orleans Pelicans,Dallas Mavericks,0.513700857640887
Denver Nuggets,Miami Heat,0.5280009414717798
Detroit Pistons,Milwaukee Bucks,0.5015207898167116
Los Angeles Lakers,Brooklyn Nets,0.5137933653661091
New York Knicks,Phoenix Suns,0.5328927461155653
Oklahoma City Thunder,Boston Celtics,0.575995840524965
Chicago Bulls,Orlando Magic,0.5111662206123555
Philadelphia 76ers,Indiana Pacers,0.5429021082201589
San Antonio Spurs,Charlotte Hornets,0.5056742438343205
Utah Jazz,Toronto Raptors,0.5873501288356315
Washington Wizards,Cleveland Cavaliers,0.5439234330989735
New Orleans Pelicans,Chicago Bulls,0.5418866794450945
Denver Nuggets,Golden State Warriors,0.5842370028699422
Sacramento Kings,Detroit Pistons,0.5060713244142685
Los Angeles Clippers,Memphis Grizzlies,0.5702392705756641
Minnesota Timberwolves,Dallas Mavericks,0.5453158270487078
Cleveland Cavaliers,Atlanta Hawks,0.5080235596831576
Houston Rockets,Utah Jazz,0.5648457692411184
Los Angeles Clippers,Miami Heat,0.556651970826609
Los Angeles Lakers,Memphis Grizzlies,0.5567823001329598
Minnesota Timberwolves,Charlotte Hornets,0.5091047784243847
New York Knicks,Indiana Pacers,0.5423404136455662
Orlando Magic,Boston Celtics,0.5456770076071613
Portland Trail Blazers,Oklahoma City Thunder,0.5873027074010188
San Antonio Spurs,Phoenix Suns,0.5389824843973582
Toronto Raptors,Washington Wizards,0.5805529008681383
Atlanta Hawks,Boston Celtics,0.5263594034633845
Golden State Warriors,Miami Heat,0.5459127720950147
Phoenix Suns,Brooklyn Nets,0.551060580483004
Cleveland Cavaliers,Milwaukee Bucks,0.5488705405487344
Brooklyn Nets,Denver Nuggets,0.5013905989170491
New Orleans Pelicans,Indiana Pacers,0.5118091368490081
Charlotte Hornets,New York Knicks,0.5004469516146868
Portland Trail Blazers,Memphis Grizzlies,0.5694780791359965
Sacramento Kings,Oklahoma City Thunder,0.5881396232343054
San Antonio Spurs,Los Angeles Clippers,0.5597547128851896
Toronto Raptors,Chicago Bulls,0.5361436160313503
Utah Jazz,Philadelphia 76ers,0.5297038107080005
Washington Wizards,Dallas Mavericks,0.5029262615599477
Boston Celtics,Los Angeles Lakers,0.5326296114562812
Indiana Pacers,Detroit Pistons,0.5018649452121562
Golden State Warriors,Minnesota Timberwolves,0.5800286474194918
New York Knicks,Orlando Magic,0.5124772054178119
Phoenix Suns,Miami Heat,0.5799675734806846
Denver Nuggets,Oklahoma City Thunder,0.5598288102253186
Houston Rockets,Cleveland Cavaliers,0.5928373639681885
Sacramento Kings,Philadelphia 76ers,0.5630217639396154
Toronto Raptors,New Orleans Pelicans,0.5090827908614698
Los Angeles Lakers,Washington Wizards,0.5315393329680711
Boston Celtics,Charlotte Hornets,0.5308097925817217
Chicago Bulls,Indiana Pacers,0.5216363487762568
Atlanta Hawks,Detroit Pistons,0.5394001641438815
Oklahoma City Thunder,Los Angeles Clippers,0.5671976158298766
Phoenix Suns,Orlando Magic,0.5361892118904402
Portland Trail Blazers,Brooklyn Nets,0.526673718649798
San Antonio Spurs,Milwaukee Bucks,0.5517631190946359
Utah Jazz,Miami Heat,0.5233465482396958
Dallas Mavericks,Cleveland Cavaliers,0.5836920176491821
Orlando Magic,Denver Nuggets,0.5163713414560933
Golden State Warriors,Philadelphia 76ers,0.5522265731056971
Houston Rockets,Memphis Grizzlies,0.5518518216436687
Los Angeles Lakers,Milwaukee Bucks,0.5017902906804531
New Orleans Pelicans,Los Angeles Clippers,0.5075762195157477
New York Knicks,Sacramento Kings,0.5381610310494733
Phoenix Suns,Minnesota Timberwolves,0.6133370836150319
San Antonio Spurs,Chicago Bulls,0.512049192682953
Brooklyn Nets,Utah Jazz,0.506057037611711
Atlanta Hawks,Washington Wizards,0.5281068351119187
