Vteam,Hteam,
Boston Celtics,Cleveland Cavaliers,
Houston Rockets,Golden State Warriors,
Milwaukee Bucks,Boston Celtics,
Atlanta Hawks,Dallas Mavericks,
Charlotte Hornets,Detroit Pistons,
Brooklyn Nets,Indiana Pacers,
New Orleans Pelicans,Memphis Grizzlies,
Miami Heat,Orlando Magic,
Portland Trail Blazers,Phoenix Suns,
Houston Rockets,Sacramento Kings,
Minnesota Timberwolves,San Antonio Spurs,
Denver Nuggets,Utah Jazz,
Philadelphia 76ers,Washington Wizards,
Los Angeles Clippers,Los Angeles Lakers,
New York Knicks,Oklahoma City Thunder,
Chicago Bulls,Toronto Raptors,
Orlando Magic,Brooklyn Nets,
Atlanta Hawks,Charlotte Hornets,
Sacramento Kings,Dallas Mavericks,
Portland Trail Blazers,Indiana Pacers,
Cleveland Cavaliers,Milwaukee Bucks,
Utah Jazz,Minnesota Timberwolves,
Golden State Warriors,New Orleans Pelicans,
Boston Celtics,Philadelphia 76ers,
Los Angeles Lakers,Phoenix Suns,
Detroit Pistons,Washington Wizards,
San Antonio Spurs,Chicago Bulls,
Orlando Magic,Cleveland Cavaliers,
Sacramento Kings,Denver Nuggets,
Dallas Mavericks,Houston Rockets,
Phoenix Suns,Los Angeles Clippers,
Golden State Warriors,Memphis Grizzlies,
Indiana Pacers,Miami Heat,
Portland Trail Blazers,Milwaukee Bucks,
Detroit Pistons,New York Knicks,
Philadelphia 76ers,Toronto Raptors,
Oklahoma City Thunder,Utah Jazz,
Atlanta Hawks,Brooklyn Nets,
New Orleans Pelicans,Los Angeles Lakers,
Minnesota Timberwolves,Oklahoma City Thunder,
Golden State Warriors,Dallas Mavericks,
Washington Wizards,Denver Nuggets,
Philadelphia 76ers,Detroit Pistons,
Memphis Grizzlies,Houston Rockets,
Atlanta Hawks,Miami Heat,
Charlotte Hornets,Milwaukee Bucks,
Sacramento Kings,Phoenix Suns,
Toronto Raptors,San Antonio Spurs,
New York Knicks,Boston Celtics,
Chicago Bulls,Cleveland Cavaliers,
Utah Jazz,Los Angeles Clippers,
Indiana Pacers,Minnesota Timberwolves,
Brooklyn Nets,Orlando Magic,
New Orleans Pelicans,Portland Trail Blazers,
Cleveland Cavaliers,Brooklyn Nets,
Denver Nuggets,Charlotte Hornets,
Memphis Grizzlies,Dallas Mavericks,
Minnesota Timberwolves,Detroit Pistons,
Toronto Raptors,Golden State Warriors,
Washington Wizards,Los Angeles Lakers,OT
San Antonio Spurs,Miami Heat,
Indiana Pacers,Oklahoma City Thunder,
Houston Rockets,Philadelphia 76ers,
Utah Jazz,Phoenix Suns,
Atlanta Hawks,Chicago Bulls,
Dallas Mavericks,Memphis Grizzlies,
Boston Celtics,Milwaukee Bucks,
Los Angeles Clippers,Portland Trail Blazers,
New Orleans Pelicans,Sacramento Kings,
Denver Nuggets,Atlanta Hawks,
Houston Rockets,Charlotte Hornets,
Washington Wizards,Golden State Warriors,
Toronto Raptors,Los Angeles Lakers,
Oklahoma City Thunder,Minnesota Timberwolves,
Brooklyn Nets,New York Knicks,
San Antonio Spurs,Orlando Magic,
Oklahoma City Thunder,Chicago Bulls,
Philadelphia 76ers,Dallas Mavericks,
Detroit Pistons,Los Angeles Clippers,
Houston Rockets,Memphis Grizzlies,
Boston Celtics,Miami Heat,
Cleveland Cavaliers,New Orleans Pelicans,
Phoenix Suns,Portland Trail Blazers,
Los Angeles Lakers,Utah Jazz,
Milwaukee Bucks,Atlanta Hawks,
Denver Nuggets,Brooklyn Nets,
Orlando Magic,Charlotte Hornets,
New York Knicks,Cleveland Cavaliers,
Detroit Pistons,Golden State Warriors,
San Antonio Spurs,Indiana Pacers,
Washington Wizards,Sacramento Kings,
San Antonio Spurs,Boston Celtics,
Philadelphia 76ers,Houston Rockets,
Golden State Warriors,Los Angeles Clippers,
Charlotte Hornets,Memphis Grizzlies,
Minnesota Timberwolves,Miami Heat,OT
Orlando Magic,New Orleans Pelicans,
Denver Nuggets,New York Knicks,
Toronto Raptors,Portland Trail Blazers,
Dallas Mavericks,Utah Jazz,
Phoenix Suns,Brooklyn Nets,
Sacramento Kings,Indiana Pacers,
Detroit Pistons,Los Angeles Lakers,
Oklahoma City Thunder,Milwaukee Bucks,
Sacramento Kings,Boston Celtics,
Milwaukee Bucks,Charlotte Hornets,
Indiana Pacers,Cleveland Cavaliers,
Toronto Raptors,Denver Nuggets,
Dallas Mavericks,Los Angeles Clippers,
Orlando Magic,Memphis Grizzlies,
Chicago Bulls,Miami Heat,
Minnesota Timberwolves,New Orleans Pelicans,
Houston Rockets,New York Knicks,
Atlanta Hawks,Philadelphia 76ers,
Portland Trail Blazers,Utah Jazz,OT
Phoenix Suns,Washington Wizards,
Los Angeles Lakers,Portland Trail Blazers,
Golden State Warriors,San Antonio Spurs,
Houston Rockets,Atlanta Hawks,
New Orleans Pelicans,Dallas Mavericks,
Miami Heat,Denver Nuggets,
Milwaukee Bucks,Detroit Pistons,
Brooklyn Nets,Los Angeles Lakers,
Phoenix Suns,New York Knicks,
Boston Celtics,Oklahoma City Thunder,
Chicago Bulls,Orlando Magic,
Indiana Pacers,Philadelphia 76ers,
Charlotte Hornets,San Antonio Spurs,
Toronto Raptors,Utah Jazz,
Cleveland Cavaliers,Washington Wizards,
New Orleans Pelicans,Chicago Bulls,OT
Golden State Warriors,Denver Nuggets,
Sacramento Kings,Detroit Pistons,
Memphis Grizzlies,Los Angeles Clippers,
Dallas Mavericks,Minnesota Timberwolves,
Atlanta Hawks,Cleveland Cavaliers,
